句子数量,56221,方法,mi,support,5,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
刚刚结束,刚刚/结束,39,59,171,217.327683616
最后一刻,最后/一刻,7,284,10,138.572887324
落选赛,落选/赛,5,6,309,151.620819849
2000特辑,2000/特辑,110,237,110,237.219409283
药检呈,药检/呈,5,36,17,459.321895425
四百米,四百/米,8,8,536,104.889925373
公斤级,公斤/级,9,23,17,1294.08951407
涅莫夫,涅莫/夫,7,7,55,1022.2
自选动作,自选/动作,13,16,333,137.175863363
200米,200/米,17,17,536,104.889925373
１９岁,１９/岁,5,8,214,164.196845794
吉新鹏,吉新/鹏,9,9,16,3513.8125
直落,直/落,14,15,54,971.720987654
2004年雅典,2004年/雅典,16,39,75,307.533675214
不得超过,不得/超过,5,7,46,872.99689441
二号,二/号,17,67,83,171.867829527
追成,追/成,10,42,85,157.481792717
障碍赛马,障碍/赛马,5,45,30,208.225925926
条腿,条/腿,5,23,15,814.797101449
体育报,体育/报,5,143,15,131.051282051
主力阵容,主力/阵容,6,33,30,340.733333333
顺利过关,顺利/过关,5,37,22,345.337837838
沙滩排球,沙滩/排球,40,43,133,393.222591362
公里竞走,公里/竞走,34,59,69,469.544092361
杨威,杨/威,9,18,14,2007.89285714
A组,A/组,8,11,62,659.483870968
9.80分,9.80/分,6,6,501,112.21756487
绕场,绕/场,6,7,246,195.891986063
水花压,水花/压,6,27,37,337.663663664
1988年汉城,1988年/汉城,8,26,24,720.782051282
东方网,东方/网,21,23,100,513.322173913
先失,先/失,5,52,22,245.721153846
10000米,10000/米,5,5,536,104.889925373
只剩下,只/剩下,7,139,16,176.954586331
关键时刻,关键/时刻,21,71,44,377.926056338
一路过关斩将,一路/过关斩将,5,23,6,2036.99275362
没想到,没/想到,13,137,27,197.586645039
新社,新/社,8,128,8,439.2265625
告诉记者,告诉/记者,14,33,185,128.926126126
一路领先,一路/领先,12,23,135,217.279227053
兵败,兵/败,11,14,90,490.818253968
1赔,1/赔,9,116,20,218.098706897
咬住,咬/住,8,17,63,419.951447246
比分变成,比分/变成,8,123,24,152.360433604
上届亚特兰大,上届/亚特兰大,11,49,122,103.451154232
11月30日,11月/30日,6,30,97,115.919587629
铜牌争夺战,铜牌/争夺战,5,122,17,135.537608486
竞争激烈,竞争/激烈,5,39,34,211.994720965
暂列,暂/列,6,10,40,843.315
职业生涯,职业/生涯,5,37,30,253.247747748
告负,告/负,5,9,36,867.608024691
交接棒,交接/棒,6,8,57,739.75
李菊,李/菊,6,15,6,3748.06666667
8月8日,8月/8日,7,132,10,298.141666667
集中精力,集中/精力,6,24,8,1756.90625
老瓦,老/瓦,25,115,26,470.075250836
0.3分,0.3/分,8,8,501,112.21756487
正手,正/手,17,68,71,197.961267606
二百米,二百/米,5,5,536,104.889925373
右脚,右/脚,6,14,23,1047.59627329
顺利拿下,顺利/拿下,5,37,53,143.347781744
张军,张/军,5,33,14,608.452380952
胡进带队,胡进/带队,6,62,7,777.248847926
面国旗,面/国旗,6,37,37,246.403214025
智利代表团,智利/代表团,6,34,83,119.534372785
副主席,副/主席,7,43,69,132.641388608
马来西亚公开赛,马来西亚/公开赛,5,14,44,456.339285714
2001年3月,2001年/3月,6,30,22,511.1
沙排,沙/排,15,15,109,515.788990826
图卢,图/卢,7,13,11,2752.07692308
赔率,赔/率,10,20,17,1653.55882353
古典式摔跤,古典式/摔跤,5,5,43,1307.46511628
8月12日,8月/12日,9,132,16,239.578125
再加上,再/加上,9,173,19,153.936416185
副主任,副/主任,15,43,37,530.053425519
丹麦哥本哈根,丹麦/哥本哈根,5,63,7,637.426303855
伍德兄弟,伍德/兄弟,6,10,10,3373.26
爱笑,爱/笑,6,22,30,511.1
呈阳性,呈/阳性,15,17,26,1907.95248869
半区,半/区,12,64,21,501.973214286
巴斯呼,巴斯/呼,5,6,5,9370.16666667
超水平发挥,超水平/发挥,13,16,281,162.560720641
差距缩小,差距/缩小,5,46,9,678.997584541
陈静,陈/静,11,15,19,2169.93333333
内部矛盾,内部/矛盾,6,27,15,832.903703704
湖北仙桃,湖北/仙桃,6,18,7,2677.19047619
找不到,找/不到,6,17,6,3307.11764706
肯特里斯,肯特/里斯,11,11,11,5111.0
球员卡菲尔尼科夫,球员/卡菲尔尼科夫,7,164,17,141.157460545
双桨,双/桨,6,42,10,803.157142857
米栏,米/栏,5,536,5,104.889925373
顶尖高手,顶尖/高手,5,16,21,836.62202381
熊倪,熊/倪,314,349,317,159.567163505
射箭协会,射箭/协会,8,61,37,199.276916261
李季,李/季,5,15,5,3748.06666667
是否取消,是否/取消,6,57,49,120.775510204
田亮,田/亮,14,33,22,1084.15151515
口气,口/气,6,14,26,926.71978022
小威廉姆斯,小/威廉姆斯,6,94,21,170.88449848
版权所有,版权/所有,14,15,97,540.958075601
熊姿,熊/姿,34,349,37,148.030202122
主席萨马兰奇,主席/萨马兰奇,5,69,10,407.398550725
1992年巴塞罗那,1992年/巴塞罗那,10,37,47,323.294997125
杀入,杀/入,5,29,60,161.554597701
孔妈妈,孔/妈妈,5,9,15,2082.25925926
全力争取,全力/争取,5,16,56,313.733258929
外卡,外/卡,10,67,15,559.412935323
大满贯,大/满贯,26,442,28,118.111344538
遭淘汰,遭/淘汰,18,30,81,416.451851852
淘汰出局,淘汰/出局,8,81,20,277.634567901
三日赛,三日/赛,15,15,309,181.944983819
6月7日,6月/7日,6,44,13,589.730769231
米自由泳,米/自由泳,26,536,26,104.889925373
整场,整/场,5,7,246,163.243321719
8月11日,8月/11日,11,132,18,260.282407407
网上实力,网上/实力,5,10,210,133.85952381
马术俱乐部,马术/俱乐部,7,139,13,217.7902601
井浚弘,井浚/弘,5,10,10,2811.05
艾尔格罗耶,艾尔格/罗耶,6,6,6,9370.16666667
梅林特,梅林/特,21,22,34,1578.39705882
大连站,大连/站,6,9,71,527.896713615
夺牌,夺/牌,11,187,20,165.355882353
入水,入/水,28,60,65,403.637948718
女乒,女/乒,5,107,14,187.653538051
新闻发布会,新闻/发布会,13,342,15,142.47037037
三振,三/振,5,425,6,110.237254902
科学训练,科学/训练,5,11,243,105.164609053
双人跳水,双人跳/水,19,27,65,608.66039886
参赛资格,参赛/资格,33,122,127,119.742674584
屈居亚军,屈居/亚军,5,6,51,918.64379085
１９９６年亚特兰大,１９９６年/亚特兰大,8,16,122,230.413934426
Ａ组,Ａ/组,5,5,62,906.790322581
建立镜像,建立/镜像,7,11,7,5111.0
再添,再/添,7,173,13,174.987550022
屈体,屈/体,6,11,14,2190.42857143
合作获,合作/获,25,46,115,265.694706994
句话,句/话,8,22,33,619.515151515
2003年6月,2003年/6月,14,26,44,688.019230769
终于如愿以偿,终于/如愿以偿,5,74,7,542.673745174
发挥失常,发挥/失常,9,281,14,128.619471276
山倒,山/倒,8,14,20,1606.31428571
段时间,段/时间,18,35,131,220.714940022
长达,长/达,9,43,31,379.586646662
9.687分,9.687/分,5,5,501,112.21756487
明确表示,明确/表示,6,18,167,112.21756487
微弱优势,微弱/优势,7,11,158,226.436708861
东道主澳洲,东道主/澳洲,5,20,83,169.340361446
自由式摔跤,自由式/摔跤,7,7,43,1307.46511628
心理素质,心理/素质,8,67,15,447.530348259
霍根班德,霍根班/德,5,5,31,1813.58064516
黄强,黄/强,8,22,162,126.197530864
李小鹏,李小/鹏,6,6,16,3513.8125
一点点,一点/点,9,62,55,148.383870968
500米,500/米,7,7,536,104.889925373
整套动作,整套/动作,9,9,333,168.831831832
国际奥委会,国际/奥委会,151,326,185,140.762245067
天津世锦赛,天津/世锦赛,13,32,63,362.536210317
的话题,的/话题,6,6,7,8031.57142857
只得了,只/得了,8,139,27,119.842259526
盖德,盖/德,6,13,31,837.037220844
胡佳,胡/佳,12,28,34,708.668067227
充满信心,充满/信心,5,19,49,301.93877551
四分之一决赛,四分之一/决赛,21,24,421,116.848871734
1500米,1500/米,11,11,536,104.889925373
季军争夺战,季军/争夺战,7,14,17,1653.55882353
塞蕾娜,塞蕾/娜,5,5,8,7027.625
高凌,高/凌,6,266,8,158.517857143
金夫人,金/夫人,8,208,8,270.293269231
头号劲敌,头号/劲敌,5,27,12,867.608024691
技压,技/压,5,8,37,949.679054054
瘦身,瘦/身,15,16,41,1285.54115854
近乎完美,近乎/完美,5,12,32,732.044270833
相持阶段,相持/阶段,5,8,33,1064.79166667
接下来,接/下来,5,36,45,173.521604938
信息时报,信息/时报,9,15,11,3066.6
写下,写/下,6,14,219,110.021526419
４００米,４００/米,5,6,409,114.549714751
二号种子,二/号种子,9,59,54,158.816384181
世界女排大奖赛,世界/女排大奖赛,5,532,5,105.678571429
队友合作获,队友/合作获,7,111,25,141.818738739
修振涛表示,修振涛/表示,5,7,161,249.427684117
奥委会主席,奥委会/主席,5,34,30,275.593137255
伊万科夫,伊万科/夫,14,14,48,1171.27083333
200米自由泳,200米/自由泳,5,17,6,2755.93137255
比萨乌丁,比萨乌/丁,5,5,23,2444.39130435
香港奥委会,香港/奥委会,5,57,34,145.049019608
坏球,坏/球,5,15,166,112.893574297
刘沁薇,刘/沁薇,5,15,5,3748.06666667
合作获混合双打,合作获/混合双打,8,25,15,1199.38133333
管理中心主任,管理/中心主任,6,13,13,1996.01183432
现代五项,现代五/项,67,67,285,197.266666667
桑勃式摔跤,桑勃式/摔跤,9,9,31,1813.58064516
铁人三项,铁人三/项,52,61,285,168.161748634
半小时,半/小时,7,41,62,154.817859953
跑垒成功,跑垒/成功,6,8,81,520.564814815
相关新闻报道,相关新闻/报道,9,11,47,978.70212766
沈阳少体校,沈阳/少体校,5,8,7,5019.73214286
排球管理中心,排球/管理中心,8,93,12,403.017921147
回光返,回光/返,5,5,6,9370.16666667
大跌眼镜,大/跌眼镜,5,421,5,133.541567696
陶菲克,陶菲/克,18,18,30,1874.03333333
国际奥委会委员,国际奥委会/委员,12,151,41,108.973025359
举办时间,举办/时间,8,43,104,100.574239714
欢迎发表非常见解,欢迎发表/非常见解,5,5,5,11244.2
佩寄制,佩寄/制,6,7,26,1853.43956044
全英赛,全英/赛,5,9,283,110.367098547
去年天津世锦赛,去年天津/世锦赛,5,7,55,730.142857143
出现重大失误,出现重大/失误,11,11,157,358.095541401
体操队领队,体操队/领队,6,60,49,114.736734694
难度系数达到,难度系数/达到,6,47,50,143.542978723
巴尔马塞,巴尔/马塞,6,6,6,9370.16666667
4×100米接力,4×100米/接力,9,13,62,627.777915633
3000米障碍,3000米/障碍,5,6,40,1171.27083333
国家体育总局,国家/体育总局,25,149,31,304.292054557
竞技体育,竞技/体育,5,18,107,145.952751817
井浚泓,井/浚泓,69,70,69,803.157142857
澳洲球员杰勒娜,澳洲/球员杰勒娜,6,78,6,720.782051282
美网,美/网,7,29,64,212.040409483
夺金前景,夺金/前景,7,111,19,186.603603604
今年最佳成绩缔造者,今年最佳/成绩缔造者,12,12,12,4685.08333333
号种子印尼,号种子/印尼,6,54,59,105.877589454
里奥斯,里奥/斯,8,8,27,2082.25925926
4x100米接力,4x100米/接力,7,7,62,906.790322581
中心副主任,中心副/主任,6,6,15,3748.06666667
瘦身计划,瘦/身计划,7,8,7,7027.625
身高1米,身高1/米,7,7,409,137.459657702
国际奥委会主席罗格,国际奥委会/主席罗格,7,151,10,260.627152318
阿曼纳尔,阿曼/纳尔,5,5,5,11244.2
国际体联,国际/体联,6,169,6,332.668639053
20公里竞走,20/公里竞走,20,72,25,624.677777778
４Ｘ１００米接力,４Ｘ１００米/接力,10,13,62,697.53101737
邦迪海滩,邦/迪海滩,7,7,7,8031.57142857
萨乌叮,萨乌/叮,7,27,9,1619.53497942
单打四分之一决赛,单打四分之一/决赛,5,5,405,138.817283951
萨乌丁,萨乌/丁,18,27,23,1629.5942029
国际羽联,国际/羽联,7,169,7,332.668639053
裁项投票,裁项/投票,5,12,25,937.016666667
运动管理中心主任,运动管理/中心主任,5,10,13,2162.34615385
２００米,２００/米,10,11,409,124.963325183
新规则,新/规则,5,120,22,106.479166667
000米,000/米,8,9,409,122.186362402
小时热点回顾,小时/热点回顾,7,62,7,906.790322581
授权禁止复制,授权禁止/复制,7,7,7,8031.57142857
今年最佳成绩,今年/最佳成绩,11,132,13,360.391025641
8月1日,8月/1日,6,76,16,277.40625
智利奥委会,智利/奥委会,5,28,34,295.278361345
5000米,5000/米,8,10,409,109.967726161
奥帆赛,奥/帆赛,6,17,6,3307.11764706
温布登网球赛,温布/登网球赛,5,5,5,11244.2
各地报刊文萃,各地报刊/文萃,13,13,13,4324.69230769
11月29日,11月/29日,6,15,178,126.339325843
国际铁联,国际/铁联,5,169,5,332.668639053
国际乒联,国际/乒联,5,169,5,332.668639053
佩德罗索,佩德/罗索,8,8,9,6246.77777778
100米自由泳,100/米自由泳,9,33,20,766.65
大满贯赛事,大/满贯赛事,5,421,5,133.541567696
国际奥委会执委会,国际奥委会/执委会,9,151,22,152.314569536
棱去木加山,棱去/木加山,8,10,8,5622.1
北京奥组委,北京/奥组委,7,122,7,460.827868852
100米,100/米,17,24,272,146.408854167
国际排联,国际/排联,6,146,6,385.075342466
障碍赛,障碍/赛,18,35,278,104.005960946
国际铁人三项联盟,国际/铁人三项联盟,9,146,9,385.075342466
雷德格雷夫,雷德格雷/夫,7,7,34,1653.55882353
法国球员帕斯夸里,法国球员帕/斯夸里,5,5,5,11244.2
国际网联,国际/网联,6,146,6,385.075342466
丰诺伊莫纳,丰诺伊/莫纳,7,7,7,8031.57142857
１００米,１００/米,7,11,272,131.533088235
３米板,３/米板,12,58,78,149.127320955
１０米跳台,１０米/跳台,5,21,115,116.399585921
男子50公里竞走,男子50公里/竞走,9,9,44,1277.75
2小时,2/小时,12,113,48,124.382743363
体育组织,体育/组织,5,84,31,107.951228879
雷德格里夫,雷德格里/夫,17,17,34,1653.55882353
金夺银,金/夺银,5,123,5,457.081300813
地方体育主管部门,地方/体育主管部门,5,25,7,1606.31428571
败下阵,败/下阵,9,70,9,803.157142857
8月24日,8月/24日,5,70,37,108.534749035
400米,400/米,15,22,272,140.928308824
悉尼美联电,悉尼/美联电,6,558,6,100.754480287
接受记者采访时,接受/记者采访时,7,58,11,616.844827586
国际体育仲裁法庭,国际/体育仲裁法庭,9,146,11,315.061643836
球处理,球/处理,5,161,17,102.705516989
百米,百/米,5,10,272,103.347426471
１０米台,１０米/台,15,21,49,819.548104956
3米跳板,3/米跳板,23,224,42,137.445046769
悉尼法新电,悉尼法新/电,5,5,70,803.157142857
十米台,十米/台,15,34,34,729.511245675
万米,万/米,10,23,152,160.815217391
米接力,米/接力,13,152,36,133.565972222
十米跳台,十米/跳台,18,34,110,270.582352941
三米板,三/米板,47,359,66,111.521355617
10米跳台,10米/跳台,32,35,91,564.857770801
3米板,3/米板,19,201,19,279.706467662
三米跳板,三/米跳板,18,312,19,170.711538462
双人跳台,双人/跳台,18,131,59,130.932591538
10米跳台单人,10米跳台/单人,5,32,56,156.866629464
10米跳台双人,10米跳台/双人,6,27,113,110.562438545
双人三米板,双人/三米板,9,107,47,100.614237423
句子数量,56221,方法,mc,support,20,阈值,0.8
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
句子数量,56221,方法,mc,support,20,阈值,0.8
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
句子数量,56221,方法,mc,support,20,阈值,0.8
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
句子数量,56221,方法,mi,support,5,阈值,300
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
难度系数,难度/系数,47,128,48,430.076009115
金东文,金东/文,16,16,19,2959.0
中体网,中体/网,7,8,100,491.93375
一百万元,一百万/元,7,7,35,1606.31428571
入选国家队,入选/国家队,6,22,49,312.918367347
铁联,铁/联,5,8,46,763.872282609
发起冲击,发起/冲击,7,14,35,803.157142857
合同书,合同/书,5,7,7,5736.83673469
双保险,双/保险,7,42,12,780.847222222
2002年4月,2002年/4月,6,28,16,752.959821429
盛装舞步,盛装/舞步,14,14,14,4015.78571429
桑雪,桑/雪,12,15,15,2998.45333333
黄指导,黄/指导,5,22,23,555.543478261
奥帆,奥/帆,7,33,8,1490.70833333
10月1日,10月/1日,39,49,55,813.587755102
火情,火/情,8,12,15,2498.71111111
轮过后,轮/过后,7,97,11,368.835051546
体育总局,体育/总局,31,143,31,393.153846154
罗格,罗/格,10,17,13,2543.93665158
夺标热门,夺标/热门,6,26,39,332.668639053
纪录保持者,纪录/保持者,48,124,48,453.39516129
肯雅,肯/雅,5,11,5,5111.0
服用兴奋剂,服用/兴奋剂,16,35,52,494.250549451
1999年11月,1999年/11月,6,23,30,488.87826087
抱膝,抱/膝,5,18,5,3123.38888889
刘MM,刘/MM,22,37,48,696.431306306
体联,体/联,6,14,46,523.798136646
2002年1月,2002年/1月,5,28,10,1003.94642857
混合双打,混合/双打,15,21,121,331.883116883
开赛以来,开赛/以来,6,17,59,336.317048853
陶利马,陶/利马,8,26,8,2162.34615385
２００４年雅典,２００４年/雅典,5,9,75,416.451851852
奥林匹克公园,奥林匹克/公园,5,29,11,881.206896552
观众致意,观众/致意,5,54,6,867.608024691
谢亚龙,谢/亚龙,16,17,16,3307.11764706
副攻,副/攻,6,43,19,412.88372093
元人民币,元/人民币,9,35,9,1606.31428571
王银行,王/银行,9,50,9,1124.42
组初赛,组/初赛,6,62,13,418.518610422
B组,B/组,12,13,62,837.037220844
号种子,号/种子,54,83,101,362.15364428
件事,件/事,9,28,43,420.256644518
8月15日,8月/15日,15,132,20,319.4375
联合早报,联合/早报,30,37,31,1470.47079337
尿检,尿/检,5,6,7,6692.97619048
文章来源,文章/来源,6,12,22,1277.75
欧美,欧/美,13,17,48,895.677696078
自由操,自由/操,23,26,23,2162.34615385
夏煊泽,夏煊/泽,11,16,14,2760.85267857
现代五,现代/五,67,79,141,338.163838765
修振涛,修/振涛,7,8,8,6149.171875
王MM,王/MM,23,50,48,538.784583333
全场最高分,全场/最高分,6,21,18,892.396825397
药检呈,药检/呈,5,36,17,459.321895425
公斤级,公斤/级,9,23,17,1294.08951407
涅莫夫,涅莫/夫,7,7,55,1022.2
吉新鹏,吉新/鹏,9,9,16,3513.8125
全英,全/英,9,47,12,897.143617021
直落,直/落,14,15,54,971.720987654
2004年雅典,2004年/雅典,16,39,75,307.533675214
不得超过,不得/超过,5,7,46,872.99689441
条腿,条/腿,5,23,15,814.797101449
主力阵容,主力/阵容,6,33,30,340.733333333
顺利过关,顺利/过关,5,37,22,345.337837838
沙滩排球,沙滩/排球,40,43,133,393.222591362
公里竞走,公里/竞走,34,59,69,469.544092361
杨威,杨/威,9,18,14,2007.89285714
A组,A/组,8,11,62,659.483870968
水花压,水花/压,6,27,37,337.663663664
1988年汉城,1988年/汉城,8,26,24,720.782051282
东方网,东方/网,21,23,100,513.322173913
关键时刻,关键/时刻,21,71,44,377.926056338
一路过关斩将,一路/过关斩将,5,23,6,2036.99275362
新社,新/社,8,128,8,439.2265625
兵败,兵/败,11,14,90,490.818253968
咬住,咬/住,8,17,63,419.951447246
暂列,暂/列,6,10,40,843.315
告负,告/负,5,9,36,867.608024691
交接棒,交接/棒,6,8,57,739.75
李菊,李/菊,6,15,6,3748.06666667
本社记者,本社/记者,5,5,185,303.897297297
集中精力,集中/精力,6,24,8,1756.90625
老瓦,老/瓦,25,115,26,470.075250836
右脚,右/脚,6,14,23,1047.59627329
张军,张/军,5,33,14,608.452380952
胡进带队,胡进/带队,6,62,7,777.248847926
马来西亚公开赛,马来西亚/公开赛,5,14,44,456.339285714
2001年3月,2001年/3月,6,30,22,511.1
沙排,沙/排,15,15,109,515.788990826
图卢,图/卢,7,13,11,2752.07692308
赔率,赔/率,10,20,17,1653.55882353
古典式摔跤,古典式/摔跤,5,5,43,1307.46511628
副主任,副/主任,15,43,37,530.053425519
丹麦哥本哈根,丹麦/哥本哈根,5,63,7,637.426303855
伍德兄弟,伍德/兄弟,6,10,10,3373.26
爱笑,爱/笑,6,22,30,511.1
呈阳性,呈/阳性,15,17,26,1907.95248869
半区,半/区,12,64,21,501.973214286
巴斯呼,巴斯/呼,5,6,5,9370.16666667
差距缩小,差距/缩小,5,46,9,678.997584541
陈静,陈/静,11,15,19,2169.93333333
内部矛盾,内部/矛盾,6,27,15,832.903703704
湖北仙桃,湖北/仙桃,6,18,7,2677.19047619
找不到,找/不到,6,17,6,3307.11764706
肯特里斯,肯特/里斯,11,11,11,5111.0
乒联,乒/联,5,14,46,436.498447205
双桨,双/桨,6,42,10,803.157142857
顶尖高手,顶尖/高手,5,16,21,836.62202381
李季,李/季,5,15,5,3748.06666667
田亮,田/亮,14,33,22,1084.15151515
口气,口/气,6,14,26,926.71978022
版权所有,版权/所有,14,15,97,540.958075601
主席萨马兰奇,主席/萨马兰奇,5,69,10,407.398550725
1992年巴塞罗那,1992年/巴塞罗那,10,37,47,323.294997125
孔妈妈,孔/妈妈,5,9,15,2082.25925926
全力争取,全力/争取,5,16,56,313.733258929
外卡,外/卡,10,67,15,559.412935323
遭淘汰,遭/淘汰,18,30,81,416.451851852
跌眼镜,跌/眼镜,5,9,7,4461.98412698
欢迎发表,欢迎/发表,5,20,11,1277.75
6月7日,6月/7日,6,44,13,589.730769231
井浚弘,井浚/弘,5,10,10,2811.05
艾尔格罗耶,艾尔格/罗耶,6,6,6,9370.16666667
梅林特,梅林/特,21,22,34,1578.39705882
大连站,大连/站,6,9,71,527.896713615
入水,入/水,28,60,65,403.637948718
双人跳水,双人跳/水,19,27,65,608.66039886
屈居亚军,屈居/亚军,5,6,51,918.64379085
Ａ组,Ａ/组,5,5,62,906.790322581
建立镜像,建立/镜像,7,11,7,5111.0
屈体,屈/体,6,11,14,2190.42857143
句话,句/话,8,22,33,619.515151515
2003年6月,2003年/6月,14,26,44,688.019230769
终于如愿以偿,终于/如愿以偿,5,74,7,542.673745174
山倒,山/倒,8,14,20,1606.31428571
2002年11月,2002年/11月,6,28,30,401.578571429
长达,长/达,9,43,31,379.586646662
自由式摔跤,自由式/摔跤,7,7,43,1307.46511628
心理素质,心理/素质,8,67,15,447.530348259
霍根班德,霍根班/德,5,5,31,1813.58064516
李小鹏,李小/鹏,6,6,16,3513.8125
天津世锦赛,天津/世锦赛,13,32,63,362.536210317
的话题,的/话题,6,6,7,8031.57142857
盖德,盖/德,6,13,31,837.037220844
胡佳,胡/佳,12,28,34,708.668067227
充满信心,充满/信心,5,19,49,301.93877551
季军争夺战,季军/争夺战,7,14,17,1653.55882353
塞蕾娜,塞蕾/娜,5,5,8,7027.625
头号劲敌,头号/劲敌,5,27,12,867.608024691
技压,技/压,5,8,37,949.679054054
瘦身,瘦/身,15,16,41,1285.54115854
近乎完美,近乎/完美,5,12,32,732.044270833
